Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,patient_id,Platform,ReleaseDate,create_date,version,Sample Name,selection_marker,source_name,SRA Study,tissue
SRR17762753,RNA-Seq,107,819276316,PRJNA800731,SAMN25278794,275288552,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925157,GSM5836979,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl051,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836979,CD90+,Forearm skin,SRP356854,Skin
SRR17762754,RNA-Seq,107,819728284,PRJNA800731,SAMN25278795,275149745,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925158,GSM5836980,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl051,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836980,CD45+,Forearm skin,SRP356854,Skin
SRR17762755,RNA-Seq,107,725940858,PRJNA800731,SAMN25278796,243578783,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925159,GSM5836981,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl052,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836981,CD90+,Forearm skin,SRP356854,Skin
SRR17762756,RNA-Seq,107,680990586,PRJNA800731,SAMN25278797,229014169,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925160,GSM5836982,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl052,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836982,CD45+,Forearm skin,SRP356854,Skin
SRR17762757,RNA-Seq,107,723329951,PRJNA800731,SAMN25278798,243066820,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925161,GSM5836983,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl053,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836983,CD90+,Forearm skin,SRP356854,Skin
SRR17762758,RNA-Seq,107,458483444,PRJNA800731,SAMN25278799,154181948,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925162,GSM5836984,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl053,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:42:00Z,1,GSM5836984,CD90+,Forearm skin,SRP356854,Skin
SRR17762759,RNA-Seq,107,776956960,PRJNA800731,SAMN25278800,264628178,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925163,GSM5836985,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl053,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5836985,CD45+,Forearm skin,SRP356854,Skin
SRR17762760,RNA-Seq,107,865045994,PRJNA800731,SAMN25278801,290862543,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925164,GSM5836986,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5836986,CD45+,Peripheral blood,SRP356854,Blood
SRR17762761,RNA-Seq,107,806263083,PRJNA800731,SAMN25278802,278784110,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925360,GSM5836987,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5836987,CD90+,Forearm skin,SRP356854,Skin
SRR17762762,RNA-Seq,107,705121333,PRJNA800731,SAMN25278803,241592001,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925361,GSM5836988,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,-,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:42:00Z,1,GSM5836988,CD90+,Lung,SRP356854,Lung
SRR17762763,RNA-Seq,107,705339078,PRJNA800731,SAMN25278804,239193432,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925362,GSM5836989,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl051,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836989,CD90+,Forearm skin,SRP356854,Skin
SRR17762764,RNA-Seq,107,659485405,PRJNA800731,SAMN25278805,220510959,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925363,GSM5836990,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl051,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836990,CD45+,Forearm skin,SRP356854,Skin
SRR17762765,RNA-Seq,107,834991406,PRJNA800731,SAMN25278806,278595010,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925364,GSM5836991,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl053,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836991,CD90+,Forearm skin,SRP356854,Skin
SRR17762766,RNA-Seq,107,732817748,PRJNA800731,SAMN25278807,246619235,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925365,GSM5836992,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836992,CD90+,Forearm skin,SRP356854,Skin
